V149343,Immigration Consultant (2016) - ON,Complete,9/17/2018,9/17/2018,4/12/2019,4/12/2019,0
V149325,Immigration Consultant (2016) - ON,Complete,9/17/2018,9/17/2018,4/19/2019,4/18/2019,0
V149175,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,4/3/2019,0
V149190,Business Administration (2013)-ON,Void,7/6/2018,,4/21/2019,,31
V149801,Paralegal (2014)-ON,Void,4/15/2019,,4/3/2020,4/11/2019,33
V149337,Project Administration (2013)-ON,Cancelled,9/17/2018,9/17/2018,7/26/2019,4/10/2019,15
V149693,Immigration Consultant (2016) - ON,Cancelled,3/25/2019,3/25/2019,4/1/2019,4/1/2019,12
V149371,Accounting and Payroll Administrator (2013)-ON,Cancelled,9/24/2018,9/24/2018,6/14/2019,4/5/2019,10
V900573A,Medical Office Assistant (Instr)-ON,Cancelled,3/25/2019,4/2/2019,1/18/2020,4/2/2019,22
V900507,Medical Office Assistant (Instr)-ON,Cancelled,1/24/2019,1/24/2019,11/1/2019,4/18/2019,15
V149189,Business Administration (2013)-ON,Void,7/6/2018,,4/21/2019,,31
V149205,Business Administration (2013)-ON,Void,7/6/2018,,4/21/2019,,31
V149278,Web Designer (2015)-ON,Cancelled,9/10/2018,9/10/2018,8/30/2019,4/26/2019,15
V149128,Logistics and Supply Chain Operations (2016) - ON ,Complete,5/7/2018,5/7/2018,4/5/2019,4/5/2019,0
V149747,Personal Support Worker (2016) - AOL,Void,4/1/2019,,4/1/2019,,19
V149307,Immigration Consultant (2016) - ON,Complete,9/4/2018,9/4/2018,4/5/2019,4/5/2019,0
V149787,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,4/1/2019,4/2/2019,2/28/2020,4/11/2019,22
V149779,Business Administration (2013)-ON,Cancelled,4/1/2019,4/1/2019,1/17/2020,4/30/2019,30
V149246,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,4/5/2019,4/5/2019,0
, # of Scheduled End: 15,,# Completed: 18,,120.00%,,
,,,Page 1 of 1,,,,
