Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V900834,Medical Office Assistant (Instr)-ON,Cancelled,10/3/2019,10/7/2019,7/30/2020,12/17/2019,17
v900889,Personal Support Worker (2016) - AOL,Cancelled,10/3/2019,10/7/2019,6/4/2020,12/9/2019,15
v900744,Law Clerk (2013)-ON,Cancelled,7/31/2019,8/1/2019,8/5/2020,12/17/2019,20
v900734,Personal Support Worker (2016) - AOL,Cancelled,7/31/2019,8/1/2019,4/1/2020,12/21/2019,11
v900172,Network Administrator (2013)-ON,Cancelled,10/9/2019,11/4/2019,10/5/2020,12/17/2019,19
v900224,Medical Office Assistant (Instr)-ON,Cancelled,11/15/2019,11/15/2019,9/11/2020,12/21/2019,21
V149952,Immigration Consultant (2016) - ON,Complete,5/28/2019,5/29/2019,12/13/2019,12/14/2019,0
V149983,Medical Receptionist (2013)-ON,Complete,6/24/2019,6/25/2019,12/20/2019,12/20/2019,0
V900930,Business Administration (2013)-ON,Cancelled,10/5/2019,10/9/2019,7/11/2020,12/22/2019,22
v149797a,International Hospitality Management-ON,Cancelled,4/15/2019,4/30/2019,12/21/2019,5/1/2019,24
V149549,Network Administrator (2013)-ON,Void,12/7/2018,,12/8/2019,,19
V149559,Web Designer (2015)-ON,Cancelled,11/29/2019,12/12/2018,12/6/2019,6/13/2019,20
v900115,Medical Office Assistant (Instr)-ON,Cancelled,10/8/2019,10/8/2019,8/4/2020,12/10/2019,21
V900879,Conference and Event Planner (2014)-ON,Cancelled,10/3/2019,10/7/2019,9/18/2020,12/21/2019,29
V900862,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,10/3/2019,10/7/2019,9/24/2020,12/15/2019,19
V900735,Network Administrator (2013)-ON,Cancelled,8/8/2019,8/21/2019,7/30/2020,12/17/2019,13
V900735a,Network Administrator (2013)-ON,Cancelled,12/20/2019,12/20/2019,12/11/2020,12/21/2019,13
v900979,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/8/2019,9/22/2020,12/9/2019,26
V900818,Network Administrator (2013)-ON,Cancelled,10/7/2019,10/7/2019,9/26/2020,12/15/2019,19
v900599,Business Administration (2013)-ON,Cancelled,3/20/2019,4/3/2019,12/25/2019,7/22/2019,19
V900582,Business Administration (2013)-ON,Cancelled,3/25/2019,3/25/2019,12/28/2019,3/29/2019,30
v149894,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V900868,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/7/2019,9/22/2020,12/21/2019,27
V149729,Business Administration (2013)-ON,Void,3/11/2019,,12/13/2019,,31
v149906,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V149724,Business Administration (2013)-ON,Complete,3/11/2019,3/11/2019,12/13/2019,12/13/2019,0
V900808,Medical Office Assistant (Instr)-ON,Cancelled,10/3/2019,10/7/2019,7/30/2020,12/15/2019,13
v900771,Network Administrator (2013)-ON,Cancelled,7/31/2019,8/1/2019,7/22/2020,12/2/2019,13
V900908,Project Administration (2013)-ON,Cancelled,10/10/2019,10/10/2019,8/6/2020,12/18/2019,24
v900140,Business Administration (2013)-ON,Cancelled,10/31/2019,11/1/2019,8/6/2020,12/21/2019,30
V901001,Project Administration (2013)-ON,Cancelled,10/8/2019,10/8/2019,8/4/2020,12/17/2019,24
v149853,Immigration Consultant (2016) - ON,Cancelled,5/20/2019,5/21/2019,12/6/2019,6/24/2019,12
v900853,Medical Office Assistant (Instr)-ON,Cancelled,8/8/2019,10/7/2019,6/4/2020,12/6/2019,18
v900123,Personal Support Worker (2016) - AOL,Cancelled,10/8/2019,10/8/2019,6/9/2020,12/9/2019,15
v900836,Project Administration (2013)-ON,Cancelled,10/3/2019,10/9/2019,7/30/2020,12/17/2019,24
V900995,Business Administration (2013)-ON,Cancelled,10/8/2019,10/8/2019,7/14/2020,12/23/2019,25
V149579,Logistics and Supply Chain Operations (2016) - ON ,Void,1/21/2019,,12/6/2019,,23
V900821,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/3/2019,10/7/2019,6/11/2020,12/17/2019,17
v149844,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V149728,Business Administration (2013)-ON,Void,3/11/2019,,12/13/2019,,31
V900857,Personal Support Worker (2016) - AOL,Cancelled,10/7/2019,10/7/2019,6/6/2020,12/6/2019,15
V149945,Immigration Consultant (2016) - ON,Complete,6/3/2019,5/28/2019,12/13/2019,12/13/2019,0
v149858,Immigration Consultant (2016) - ON,Void,5/20/2019,,12/6/2019,,13
V900860,Business Administration (2013)-ON,Cancelled,10/7/2019,10/7/2019,7/11/2020,12/21/2019,26
V900220,Conference and Event Planner (2014)-ON,Cancelled,11/13/2019,11/13/2019,10/29/2020,12/15/2019,32
V900788,Medical Office Assistant (Instr)-ON,Cancelled,8/7/2019,8/7/2019,6/3/2020,12/6/2019,14
v149907,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V900827,Project Administration (2013)-ON,Cancelled,10/3/2019,10/7/2019,7/30/2020,12/15/2019,23
v901006,Conference and Event Planner (2014)-ON,Cancelled,10/8/2019,10/8/2019,9/23/2020,12/17/2019,28
V900829,Project Administration (2013)-ON,Cancelled,10/7/2019,10/7/2019,8/1/2020,12/15/2019,23
v900991,Conference and Event Planner (2014)-ON,Cancelled,10/8/2019,10/8/2019,9/23/2020,12/17/2019,29
V900798,Project Administration (2013)-ON,Cancelled,10/7/2019,10/16/2019,8/1/2020,12/15/2019,31
V901011,IT Security Specialist Cert (2013)-ON,Cancelled,10/8/2019,10/8/2019,3/3/2020,12/17/2019,4
V900802,Accounting and Payroll Administrator (2013)-ON,Cancelled,8/8/2019,10/7/2019,4/16/2020,12/17/2019,19
v900783,Business Administration (2013)-ON,Cancelled,8/1/2019,8/1/2019,5/7/2020,12/9/2019,21
V149739,Business Administration (2013)-ON,Complete,3/11/2019,3/14/2019,12/13/2019,12/13/2019,0
V900846,Network Administrator (2013)-ON,Cancelled,8/9/2019,10/7/2019,7/31/2020,12/21/2019,18
V900201,Business Administration (2013)-ON,Cancelled,11/9/2019,11/18/2019,8/15/2020,12/21/2019,30
V149636,Personal Support Worker (2016) - AOL,Complete,3/11/2019,3/11/2019,12/13/2019,12/13/2019,0
391268,INDIVIDUAL CERTIFICATE,Void,12/12/2019,,12/12/2019,,0
V149727,Business Administration (2013)-ON,Cancelled,3/11/2019,3/13/2019,12/13/2019,6/10/2019,30
V149673,Home Inspection (2009)-ON,Cancelled,2/11/2019,2/13/2019,12/20/2019,3/25/2019,19
v900892,Business Administration (2013)-ON,Cancelled,10/8/2019,10/8/2019,7/14/2020,12/20/2019,24
V900844,Conference and Event Planner (2014)-ON,Cancelled,10/3/2019,10/7/2019,9/18/2020,12/17/2019,26
V900543,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,1/21/2019,1/21/2019,12/6/2019,5/7/2019,21
V900982,Conference and Event Planner (2014)-ON,Cancelled,10/7/2019,10/8/2019,9/22/2020,12/21/2019,29
v900199,Project Administration (2013)-ON,Cancelled,10/31/2019,11/1/2019,8/27/2020,12/17/2019,31
v149863,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
V900732,Project Administration (2013)-ON,Cancelled,7/17/2019,8/1/2019,5/13/2020,12/10/2019,19
v149759,Immigration Consultant (2016) - ON,Void,4/15/2019,,12/19/2019,,13
v149850,Immigration Consultant (2016) - ON,Complete,5/20/2019,5/21/2019,12/6/2019,12/6/2019,0
v900969,Project Administration (2013)-ON,Cancelled,10/7/2019,10/8/2019,8/1/2020,12/17/2019,30
