Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V149762,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/26/2019,10/11/2019,10/11/2019,0
V149495,Paralegal (2014)-ON,Complete,11/5/2018,11/12/2018,10/25/2019,10/25/2019,0
v149989,Medical Receptionist (2013)-ON,Cancelled,7/9/2019,7/10/2019,12/6/2019,10/1/2019,11
V149634,Business Administration (2013)-ON,Complete,1/21/2019,1/21/2019,10/25/2019,10/25/2019,0
v900641,Network Administrator (2013)-ON,Cancelled,5/11/2019,6/10/2019,5/2/2020,10/7/2019,13
V900527,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,7/6/2019,14
V149867,Accounting and Payroll Administrator (2013)-ON,Cancelled,4/29/2019,4/29/2019,1/17/2020,10/16/2019,10
V149423,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,10/1/2018,10/2/2018,10/4/2019,10/4/2019,1
V149532,Logistics and Supply Chain Operations (2016) - ON ,Complete,11/27/2018,11/27/2018,10/25/2019,10/22/2019,0
V149476,Law Clerk (2013)-ON,Cancelled,11/5/2018,11/5/2018,10/11/2019,12/4/2018,24
V149734,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/11/2019,10/10/2019,0
V149499,Paralegal (2014)-ON,Complete,11/5/2018,11/13/2018,10/25/2019,10/28/2019,0
V900552,Personal Support Worker (2016) - AOL,Cancelled,2/4/2019,2/1/2019,10/18/2019,4/25/2019,17
v150195,Immigration Consultant (2016) - ON,Cancelled,9/23/2019,9/23/2019,4/24/2020,10/15/2019,11
V149755,Home Inspection (2009)-ON,Cancelled,4/1/2019,4/1/2019,2/14/2020,10/8/2019,10
V149797,Immigration Consultant (2016) - ON,Complete,4/15/2019,4/15/2019,11/1/2019,10/31/2019,0
391514,INDIVIDUAL CERTIFICATE,Void,10/1/2019,,10/1/2019,,0
V900644,Conference and Event Planner (2014)-ON,Cancelled,5/13/2019,5/27/2019,4/28/2020,10/18/2019,27
V900870,Logistics and Supply Chain Operations (2016) - ON ,Void,10/3/2019,,9/24/2020,10/18/2019,23
V149620,Business Administration (2013)-ON,Complete,1/12/2019,1/14/2019,10/18/2019,10/18/2019,0
V900525,Personal Support Worker (2016) - AOL,Cancelled,1/21/2019,1/21/2019,10/25/2019,5/8/2019,12
V149591,Business Administration (2013)-ON,Complete,1/7/2019,1/7/2019,10/11/2019,10/10/2019,0
V900775,Conference and Event Planner (2014)-ON,Cancelled,7/30/2019,7/30/2019,7/15/2020,10/18/2019,29
V150229,Medical Office Assistant (Instr)-ON,Cancelled,9/30/2019,9/30/2019,7/25/2020,10/8/2019,20
v150190,Business Administration (2013)-ON,Cancelled,9/16/2019,9/16/2019,7/3/2020,10/15/2019,30
v149627,Accounting and Payroll Administrator (2013)-ON,Complete,2/4/2019,2/4/2019,10/11/2019,10/11/2019,0
v900908a,Business Administration (2013)-ON,Void,10/5/2019,,7/11/2020,10/10/2019,31
V900631,Network Administrator (2013)-ON,Cancelled,5/11/2019,5/28/2019,5/2/2020,10/22/2019,13
391381,INDIVIDUAL CERTIFICATE,Void,10/9/2019,,10/9/2019,,0
v149578,Business Administration (2013)-ON,Complete,12/20/2018,12/19/2018,10/4/2019,10/4/2019,0
V150211,Immigration Consultant (2016) - ON,Cancelled,9/16/2019,9/17/2019,4/17/2020,10/19/2019,12
V900530,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,3/22/2019,14
391370,INDIVIDUAL CERTIFICATE,Void,10/31/2019,,10/31/2019,,0
V149514,Project Administration (2013)-ON,Complete,11/26/2018,11/27/2018,10/4/2019,10/4/2019,0
V149742,Business Office Skills (2013)-ON,Cancelled,4/8/2019,4/15/2019,10/18/2019,7/26/2019,19
V149781,Immigration Consultant (2016) - ON,Cancelled,4/1/2019,4/1/2019,10/18/2019,11/19/2019,0
v150128,Paralegal (2014)-ON,Cancelled,9/16/2019,9/16/2019,9/4/2020,10/15/2019,32
V149638,Accounting and Payroll Administrator (2013)-ON,Cancelled,1/28/2019,1/30/2019,10/4/2019,9/27/2019,7
V149656,Computer Service Technician (2013)-ON,Cancelled,1/31/2019,2/2/2019,10/4/2019,6/11/2019,17
V149213,Paralegal (2014)-ON,Complete,9/17/2018,9/17/2018,10/4/2019,10/4/2019,0
V149574,Business Administration (2013)-ON,Complete,12/17/2018,12/17/2018,10/4/2019,10/4/2019,0
V149768,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/11/2019,10/9/2019,0
V900511,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,7/22/2019,22
V900782,Business Administration (2013)-ON,Cancelled,7/31/2019,7/31/2019,5/6/2020,10/18/2019,24
V149666,Immigration Consultant (2016) - ON,Void,3/25/2019,,10/11/2019,,13
V149597,Business Administration (2013)-ON,Complete,1/21/2019,1/22/2019,10/25/2019,10/25/2019,0
V149446,Paralegal (2014)-ON,Complete,10/15/2018,10/15/2018,10/4/2019,10/4/2019,0
v150259a,Personal Support Worker (2016) - AOL,Void,10/7/2019,,6/6/2020,10/7/2019,18
t123456,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/1/2019,10/10/2019,6/9/2020,10/10/2019,24
V900538,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/23/2019,10/25/2019,8/6/2019,8
v149688,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/11/2019,10/11/2019,0
V149619,Business Administration (2013)-ON,Complete,1/12/2019,1/14/2019,10/18/2019,10/18/2019,0
V149487,Paralegal (2014)-ON,Cancelled,11/5/2018,11/5/2018,10/25/2019,7/5/2019,11
V149802,Immigration Consultant (2016) - ON,Complete,4/8/2019,4/8/2019,10/25/2019,10/28/2019,0
V149735,Immigration Consultant (2016) - ON,Complete,3/25/2019,3/25/2019,10/11/2019,10/11/2019,0
V149711,Paralegal (2014)-ON,Complete,2/4/2019,3/29/2019,10/25/2019,10/25/2019,0
