,,Student Completion Summary,,,,,
V149451,Immigration Consultant (2016) - ON,Complete,10/22/2018,10/22/2018,5/24/2019,5/25/2019,0
V149263,Immigration Consultant (2016) - ON,Cancelled,8/27/2018,9/4/2018,4/5/2019,5/15/2019,1
V149326,Business Administration (2013)-ON,Complete,9/10/2018,9/11/2018,5/10/2019,5/10/2019,0
V149179,Business Administration (2013)-ON,Cancelled,7/6/2018,7/6/2018,4/21/2019,5/1/2019,7
V149249,Immigration Consultant (2016) - ON,Void,10/8/2018,,5/10/2019,,13
V149358,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/10/2019,0
V149840,Immigration Consultant (2016) - ON,Void,4/17/2019,,11/1/2019,5/6/2019,13
V149445,Immigration Consultant (2016) - ON,Complete,10/15/2018,10/15/2018,5/31/2019,5/31/2019,0
V149215,Business Administration (2013)-ON,Cancelled,7/30/2018,7/30/2018,5/17/2019,1/7/2019,16
V149824,Immigration Consultant (2016) - ON,Complete,4/15/2019,4/15/2019,5/24/2019,5/24/2019,0
V149674,Business Administration (2013)-ON,Cancelled,2/11/2019,2/11/2019,11/15/2019,5/16/2019,29
V149351,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/10/2019,0
V149505,Personal Support Worker (2016) - AOL,Cancelled,11/26/2018,11/26/2018,9/13/2019,5/23/2019,6
v149613a,Medical Office Assistant (Instr)-ON,Void,5/11/2019,,3/7/2020,5/27/2019,22
V149321,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/10/2019,0
V149722,Home Inspection (2009)-ON,Cancelled,3/4/2019,3/5/2019,1/24/2020,5/16/2019,20
v149881,Business Administration (2013)-ON,Cancelled,4/26/2019,4/30/2019,1/31/2020,5/31/2019,0
v900570,Business Administration (2013)-ON,Cancelled,3/25/2019,3/26/2019,12/28/2019,5/28/2019,29
v149874,Business Administration (2013)-ON,Cancelled,4/26/2019,4/29/2019,1/31/2020,5/7/2019,30
V149458,Immigration Consultant (2016) - ON,Complete,10/22/2018,10/22/2018,5/24/2019,5/24/2019,0
V149148,Logistics and Supply Chain Operations (2016) - ON ,Complete,6/11/2018,6/11/2018,5/10/2019,5/8/2019,0
V149171,Personal Support Worker (2016) - AOL,Void,7/16/2018,,5/3/2019,,19
V149533,Web Designer (2015)-ON,Cancelled,11/28/2018,12/1/2018,11/22/2019,5/7/2019,18
v149811a,Immigration Consultant (2016) - ON,Cancelled,4/7/2019,4/30/2019,12/12/2019,5/1/2019,13
v900612,Medical Office Assistant (Instr)-ON,Void,5/11/2019,,3/7/2020,5/27/2019,22
V149170,Personal Support Worker (2016) - AOL,Void,7/16/2018,,5/3/2019,,19
V149173,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,6/18/2018,6/18/2018,5/17/2019,7/30/2018,21
V149259,Immigration Consultant (2016) - ON,Void,10/8/2018,,5/10/2019,,13
V149428,Immigration Consultant (2016) - ON,Complete,10/9/2018,10/9/2018,5/10/2019,5/10/2019,0
V149295,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/10/2018,5/10/2019,5/10/2019,0
V149892,Paralegal (2014)-ON,Cancelled,5/6/2019,5/6/2019,4/24/2020,5/9/2019,32
V149816,Business Administration (2013)-ON,Void,4/15/2019,,1/31/2020,5/21/2019,31
v900560,Medical Office Assistant (Instr)-ON,Cancelled,3/23/2019,4/1/2019,1/18/2020,5/3/2019,20
V149523,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,11/26/2018,11/26/2018,11/29/2019,5/7/2019,16
v149663a,Paralegal (2014)-ON,Void,4/15/2019,,4/7/2020,5/23/2019,33
V149208,Accounting and Payroll Administrator (2013)-ON,Complete,8/13/2018,8/14/2018,5/3/2019,5/3/2019,0
V149339,Home Inspection Cert-ON,Cancelled,10/1/2018,10/1/2018,5/10/2019,4/23/2019,8
V900551,Business Administration (2013)-ON,Cancelled,3/27/2019,3/27/2019,1/1/2020,5/9/2019,25
V149347,Computer Service Technician (2016) - ON,Complete,9/17/2018,9/17/2018,5/31/2019,4/27/2019,0
V149408,Business Office Skills (2013)-ON,Cancelled,9/28/2018,9/28/2018,5/3/2019,5/23/2019,0
V149399,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,5/3/2019,20
v149797a,International Hospitality Management-ON,Cancelled,4/15/2019,4/30/2019,12/21/2019,5/1/2019,24
v900597,Paralegal (2014)-ON,Cancelled,3/25/2019,3/25/2019,3/17/2020,5/2/2019,30
V149221,Business Administration (2013)-ON,Cancelled,7/30/2018,7/30/2018,5/17/2019,8/21/2018,30
V149199,Business Administration (2013)-ON,Cancelled,7/6/2018,7/6/2018,4/21/2019,5/1/2019,8
v900689a,Network Administrator (2013)-ON,Void,5/11/2019,,5/2/2020,5/27/2019,20
V900525,Personal Support Worker (2016) - AOL,Cancelled,1/21/2019,1/21/2019,10/25/2019,5/8/2019,12
v149461,Immigration Consultant (2016) - ON,Complete,10/29/2018,10/29/2018,5/31/2019,5/31/2019,0
v149861,Business Administration (2013)-ON,Cancelled,4/29/2019,4/29/2019,2/14/2020,5/27/2019,30
V149767,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,3/25/2019,3/25/2019,2/21/2020,5/16/2019,21
V149306,Accounting and Payroll Administrator (2013)-ON,Complete,9/17/2018,9/18/2018,5/24/2019,5/23/2019,0
V149141,Logistics and Supply Chain Operations (2016) - ON ,Complete,6/11/2018,6/11/2018,5/10/2019,5/10/2019,0
V149257,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/11/2019,0
V149449,Immigration Consultant (2016) - ON,Complete,10/22/2018,10/22/2018,5/24/2019,5/24/2019,0
V900514,Business Accounting (2014)-ON,Cancelled,1/21/2019,1/22/2019,8/16/2019,5/2/2019,15
V900515,Business Accounting (2014)-ON,Cancelled,1/21/2019,1/22/2019,8/16/2019,5/2/2019,16
v149801a,Paralegal (2014)-ON,Cancelled,3/29/2019,4/30/2019,3/21/2020,5/1/2019,33
V149227,Accounting and Payroll Administrator (2013)-ON,Complete,8/7/2018,8/7/2018,5/10/2019,5/10/2019,0
V149425,Immigration Consultant (2016) - ON,Cancelled,10/8/2018,10/10/2018,5/10/2019,12/14/2018,10
V149763,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,3/25/2019,3/26/2019,2/21/2020,5/3/2019,14
v149813,Business Administration (2013)-ON,Cancelled,4/30/2019,4/30/2019,2/4/2020,5/3/2019,22
V149229,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/10/2019,0
V149421,Business Accounting (2014)-ON,Cancelled,10/1/2018,10/2/2018,5/10/2019,11/30/2018,15
V149210,Business Administration (2013)-ON,Cancelled,7/23/2018,7/23/2018,5/10/2019,9/12/2018,25
V149163,Web Designer (2015)-ON,Complete,6/4/2018,6/4/2018,5/24/2019,5/24/2019,0
v149787a,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,3/29/2019,4/30/2019,3/20/2020,5/1/2019,23
V900543,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,1/21/2019,1/21/2019,12/6/2019,5/7/2019,21
V149233,Business Administration (2013)-ON,Cancelled,8/7/2018,8/7/2018,5/24/2019,8/10/2018,31
V149151,Immigration Consultant (2016) - ON,Complete,10/8/2018,10/9/2018,5/10/2019,5/17/2019,0
V149262,Personal Support Worker (2016) - AOL,Complete,8/27/2018,8/27/2018,5/31/2019,5/31/2019,0
, # of Scheduled End: 29,,# Completed: 28,,96.55%,,
,,,Page 1 of 1,,,,
