Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V900601,Business Administration (2013)-ON,Cancelled,4/9/2019,4/9/2019,1/27/2020,6/10/2019,28
V900556,Network Administrator (2013)-ON,Cancelled,3/25/2019,3/25/2019,3/14/2020,6/21/2019,19
V900586,Network Administrator (2013)-ON,Cancelled,3/21/2019,3/21/2019,3/27/2020,6/25/2019,18
v900628,Network Administrator (2013)-ON,Cancelled,5/11/2019,5/27/2019,5/2/2020,6/12/2019,19
v149880,Immigration Consultant (2016) - ON,Cancelled,4/29/2019,4/30/2019,11/15/2019,6/18/2019,13
V900605a,Paralegal (2014)-ON,Void,5/2/2019,,4/24/2020,6/10/2019,33
V900537,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,6/10/2019,22
v149941,Immigration Consultant (2016) - ON,Cancelled,5/27/2019,5/27/2019,12/13/2019,6/24/2019,12
V149410,Accounting and Payroll Administrator (2013)-ON,Complete,9/26/2018,9/26/2018,6/14/2019,6/14/2019,0
V900550,Medical Office Assistant (Instr)-ON,Cancelled,1/28/2019,1/28/2019,11/1/2019,6/10/2019,13
V900563,Network Administrator (2013)-ON,Cancelled,3/23/2019,3/30/2019,4/17/2020,6/10/2019,19
V149448,Immigration Consultant (2016) - ON,Complete,10/15/2018,10/22/2018,6/28/2019,6/28/2019,0
v149977,Business Administration (2013)-ON,Void,6/24/2019,,3/28/2020,6/21/2019,31
v900624,Network Administrator (2013)-ON,Cancelled,5/11/2019,5/27/2019,5/2/2020,6/25/2019,19
V149649,Law Clerk (2013)-ON,Cancelled,1/28/2019,1/28/2019,1/31/2020,6/11/2019,22
V149441,Business Administration (2013)-ON,Complete,10/12/2018,10/15/2018,6/28/2019,7/2/2019,0
V149750,Immigration Consultant (2016) - ON,Cancelled,4/29/2019,4/29/2019,11/15/2019,6/10/2019,11
V149770,Business Administration (2013)-ON,Cancelled,3/25/2019,3/27/2019,1/10/2020,6/11/2019,30
V149826,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,4/15/2019,4/15/2019,4/17/2020,6/10/2019,23
V149414,Accounting and Payroll Administrator (2013)-ON,Cancelled,9/27/2018,9/27/2018,6/21/2019,12/14/2018,20
V149437,Business Administration (2013)-ON,Cancelled,10/9/2018,10/9/2018,6/21/2019,12/20/2018,22
V900564,Project Administration (2013)-ON,Cancelled,3/25/2019,3/25/2019,1/18/2020,6/12/2019,25
V149289,Personal Support Worker (2016) - AOL,Cancelled,8/27/2018,8/27/2018,6/14/2019,9/4/2018,18
V149274,Accounting and Payroll Administrator (2013)-ON,Complete,8/27/2018,8/27/2018,6/7/2019,6/7/2019,0
V149281,Business Administration (2013)-ON,Complete,8/27/2018,8/27/2018,6/14/2019,6/14/2019,0
V149212,Logistics and Supply Chain Operations (2016) - ON ,Complete,10/1/2018,10/4/2018,6/14/2019,6/14/2019,0
V149157,Logistics and Supply Chain Operations (2016) - ON ,Void,7/16/2018,,6/7/2019,,22
V149268,Business Administration (2013)-ON,Complete,8/20/2018,8/20/2018,6/7/2019,6/7/2019,0
V149857,Conference and Event Planner (2014)-ON,Cancelled,4/20/2019,4/29/2019,4/7/2020,6/10/2019,31
V149481,Immigration Consultant (2016) - ON,Complete,10/31/2018,10/31/2018,6/7/2019,6/7/2019,0
V149494,Medical Office Assistant (Instr)-ON,Cancelled,11/12/2018,11/12/2018,8/30/2019,6/14/2019,9
V149159,Logistics and Supply Chain Operations (2016) - ON ,Void,7/16/2018,,6/14/2019,,23
V149267,Accounting and Payroll Administrator (2013)-ON,Complete,8/27/2018,8/27/2018,6/14/2019,6/14/2019,0
V149244,Personal Support Worker (2016) - AOL,Complete,8/20/2018,8/20/2018,6/7/2019,6/14/2019,0
V149444,Accounting and Payroll Administrator (2013)-ON,Complete,10/15/2018,10/15/2018,7/5/2019,6/14/2019,0
v149966,Immigration Consultant (2016) - ON,Cancelled,6/3/2019,6/3/2019,12/20/2019,6/7/2019,12
V149283,Business Administration (2013)-ON,Cancelled,9/4/2018,9/6/2018,6/7/2019,10/29/2018,22
V149460,Immigration Consultant (2016) - ON,Complete,10/29/2018,10/29/2018,6/28/2019,6/28/2019,0
V149342,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,9/24/2018,9/24/2018,8/23/2019,6/10/2019,6
V149197,Logistics and Supply Chain Operations (2016) - ON ,Void,7/16/2018,,6/14/2019,,23
V149305,Business Administration (2013)-ON,Void,9/4/2018,,6/21/2019,,31
v149406,Accounting and Payroll Administrator (2013)-ON,Cancelled,9/26/2018,9/26/2018,6/14/2019,10/4/2018,23
V149559,Web Designer (2015)-ON,Cancelled,11/29/2019,12/12/2018,12/6/2019,6/13/2019,20
V900542,Payroll Administrator Cert (2013)-ON,Cancelled,1/21/2019,1/21/2019,6/7/2019,6/25/2019,0
V149329,Business Administration (2013)-ON,Cancelled,9/10/2018,9/11/2018,6/28/2019,1/8/2019,0
V149360,Business Administration (2013)-ON,Complete,9/24/2018,10/12/2018,8/2/2019,6/12/2019,0
V900562,Project Administration (2013)-ON,Cancelled,3/25/2019,3/25/2019,1/18/2020,6/25/2019,28
V149946,Business Administration (2013)-ON,Cancelled,5/27/2019,5/27/2019,3/20/2020,6/24/2019,31
v149993,Network Administrator (2013)-ON,Void,6/24/2019,,6/13/2020,6/26/2019,20
v900728a,Business Administration (2013)-ON,Void,6/25/2019,,3/31/2020,6/25/2019,31
v149955,Medical Office Assistant (Instr)-ON,Cancelled,5/29/2019,5/30/2019,5/29/2020,6/8/2019,20
V149273,Business Administration (2013)-ON,Cancelled,9/10/2018,9/11/2018,6/28/2019,2/14/2019,19
v149864,Paralegal (2014)-ON,Cancelled,4/29/2019,4/29/2019,4/17/2020,6/11/2019,30
v149853,Immigration Consultant (2016) - ON,Cancelled,5/20/2019,5/21/2019,12/6/2019,6/24/2019,12
V900591,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,5/16/2019,5/16/2019,5/7/2020,6/18/2019,22
V900547,Medical Office Assistant (Instr)-ON,Cancelled,1/28/2019,2/2/2019,11/1/2019,6/10/2019,18
V149656,Computer Service Technician (2013)-ON,Cancelled,1/31/2019,2/2/2019,10/4/2019,6/11/2019,17
V149319,Paralegal (2014)-ON,Cancelled,9/17/2018,9/17/2018,9/6/2019,6/26/2019,4
V149371,Accounting and Payroll Administrator (2013)-ON,Cancelled,9/24/2018,9/24/2018,6/14/2019,4/5/2019,10
V149548,Personal Support Worker (2016) - AOL,Cancelled,12/3/2018,12/3/2018,9/6/2019,6/24/2019,3
V149455,Business Administration (2013)-ON,Complete,10/22/2018,10/22/2018,6/28/2019,7/2/2019,0
v149897,Paralegal (2014)-ON,Cancelled,5/6/2019,5/7/2019,4/28/2020,6/11/2019,30
V149727,Business Administration (2013)-ON,Cancelled,3/11/2019,3/13/2019,12/13/2019,6/10/2019,30
V149145,Logistics and Supply Chain Operations (2016) - ON ,Void,7/16/2018,,6/14/2019,,23
V149875,Business Administration (2013)-ON,Cancelled,4/30/2019,5/1/2019,2/14/2020,6/25/2019,30
v149991,Medical Office Assistant with HUC Specialty (Instr)-ON,Void,6/24/2019,,7/3/2020,6/25/2019,25
V149486,Immigration Consultant (2016) - ON,Complete,11/5/2018,11/5/2018,6/28/2019,6/28/2019,0
