,,Student Completion Summary,,,,,
V149604,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/7/2019,7/26/2019,3/12/2019,9
V900582,Business Administration (2013)-ON,Cancelled,3/25/2019,3/25/2019,12/28/2019,3/29/2019,30
V149374,Project Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,8/2/2019,3/6/2019,19
V149678,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,2/18/2019,2/19/2019,2/21/2020,3/1/2019,24
V149596,Personal Support Worker (2016) - AOL,Cancelled,1/28/2019,1/29/2019,11/1/2019,3/12/2019,18
V149175,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,4/3/2019,0
V900530,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,3/22/2019,14
V149291,Immigration Consultant (2016) - ON,Complete,8/27/2018,8/27/2018,3/29/2019,3/29/2019,0
V149623,Business Office Skills (2013)-ON,Cancelled,1/21/2019,1/22/2019,7/26/2019,3/8/2019,20
V149216,Immigration Consultant (2016) - ON,Void,8/27/2018,,3/29/2019,,13
V149188,Immigration Consultant (2016) - ON,Complete,7/3/2018,7/3/2018,3/8/2019,3/8/2019,0
V149673,Home Inspection (2009)-ON,Cancelled,2/11/2019,2/13/2019,12/20/2019,3/25/2019,19
V149158,Immigration Consultant (2016) - ON,Complete,7/23/2018,7/23/2018,3/1/2019,2/28/2019,0
V149689,Immigration Consultant (2016) - ON,Cancelled,2/26/2019,2/26/2019,7/5/2019,3/11/2019,6
, # of Scheduled End: 16,,# Completed: 13,,81.25%,,
,,,Page 1 of 1,,,,
