Contract #,Program Name,Study Status,Sched. Start,Actual Start,Sched. End,Actual End,Courses Left
V150156,Business Administration (2013)-ON,Cancelled,8/26/2019,8/26/2019,6/12/2020,11/25/2019,26
v150151,Computerized Accounting (2013)-ON,Cancelled,8/26/2019,8/26/2019,4/3/2020,11/19/2019,17
v150294,Immigration Consultant (2016) - ON,Cancelled,10/21/2019,10/21/2019,5/22/2020,11/3/2019,12
V149750,Immigration Consultant (2016) - ON,Cancelled,4/29/2019,4/29/2019,11/15/2019,6/10/2019,11
v150078,Personal Support Worker (2016) - AOL,In Progress,7/29/2019,7/29/2019,11/3/2019,,1
V150002,Business Office Administration Cert (2013)-ON,Complete,7/1/2019,7/2/2019,11/22/2019,11/21/2019,0
v150392,Medical Office Assistant (Instr)-ON,Cancelled,10/30/2019,11/19/2019,8/26/2020,11/22/2019,21
V149533,Web Designer (2015)-ON,Cancelled,11/28/2018,12/1/2018,11/22/2019,5/7/2019,18
V149811,Immigration Consultant (2016) - ON,Complete,4/15/2019,4/15/2019,11/1/2019,11/1/2019,0
v150387,Immigration Consultant (2016) - ON,Cancelled,11/11/2019,11/11/2019,7/16/2020,11/25/2019,12
V150315,Medical Office Assistant (Instr)-ON,Cancelled,10/28/2019,10/28/2019,8/14/2020,11/12/2019,21
V150018,Business Administration (2013)-ON,In Progress,6/25/2019,7/2/2019,11/23/2019,,1
V150232,Accounting and Payroll Administrator (2013)-ON,Cancelled,9/23/2019,9/24/2019,6/12/2020,11/22/2019,21
V149521,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,11/26/2018,11/26/2018,11/29/2019,11/29/2019,0
V149744,Administrative Assistant (2013)-ON,Complete,5/6/2019,5/7/2019,11/26/2019,11/22/2019,0
v150388,Immigration Consultant (2016) - ON,Cancelled,11/11/2019,11/12/2019,7/16/2020,11/15/2019,12
V150081,Immigration Consultant (2016) - ON,Cancelled,8/5/2019,8/6/2019,3/6/2020,11/4/2019,6
V149709,Personal Support Worker (2016) - AOL,Complete,2/26/2019,2/26/2019,11/29/2019,11/29/2019,0
v149791,Mechanical Engineering Design Technology (2017) - ON,Void,4/1/2019,,11/23/2019,,17
v149631,Immigration Consultant (2016) - ON,Complete,4/8/2019,4/15/2019,11/1/2019,11/1/2019,0
V900508,Conference and Event Planner (2014)-ON,Cancelled,1/8/2019,1/8/2019,11/22/2019,4/25/2019,25
v900151,Business Administration (2013)-ON,Cancelled,10/15/2019,10/15/2019,7/21/2020,11/22/2019,30
V900506,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,4/26/2019,21
V900523,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,4/26/2019,23
V149523,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,11/26/2018,11/26/2018,11/29/2019,5/7/2019,16
v149961,Medical Receptionist (2013)-ON,Complete,5/31/2019,5/31/2019,11/22/2019,11/26/2019,0
v150249,IT Security Specialist Cert (2013)-ON,Cancelled,9/30/2019,9/30/2019,3/6/2020,11/10/2019,4
v900976,Business Administration (2013)-ON,Cancelled,10/7/2019,10/8/2019,7/11/2020,11/11/2019,30
V900927,Business Administration (2013)-ON,Cancelled,10/5/2019,10/8/2019,7/11/2020,11/11/2019,31
V900141,Project Administration (2013)-ON,Cancelled,10/15/2019,10/15/2019,8/11/2020,11/15/2019,31
391183,INDIVIDUAL CERTIFICATE,Void,11/20/2019,,11/20/2019,,0
V149797,Immigration Consultant (2016) - ON,Complete,4/15/2019,4/15/2019,11/1/2019,10/31/2019,0
V900532,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,7/12/2019,14
V149682,Business Administration (2013)-ON,Complete,2/18/2019,2/19/2019,11/22/2019,11/22/2019,0
V900787,Conference and Event Planner (2014)-ON,Cancelled,8/6/2019,8/6/2019,7/22/2020,11/22/2019,26
V150322,Paralegal (2014)-ON,Cancelled,11/4/2019,11/4/2019,10/27/2020,11/15/2019,31
V149433,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,10/22/2018,10/22/2018,11/8/2019,11/8/2019,0
V149596,Personal Support Worker (2016) - AOL,Cancelled,1/28/2019,1/29/2019,11/1/2019,3/12/2019,18
V149852,Immigration Consultant (2016) - ON,Complete,4/23/2019,4/23/2019,11/8/2019,11/12/2019,0
v149706,Paralegal (2014)-ON,Cancelled,4/29/2019,5/2/2019,4/24/2020,11/12/2019,13
V149503,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,11/19/2018,11/19/2018,11/22/2019,11/26/2018,24
V149465,Paralegal (2014)-ON,Complete,10/29/2018,11/5/2018,11/1/2019,11/2/2019,0
V900547,Medical Office Assistant (Instr)-ON,Cancelled,1/28/2019,2/2/2019,11/1/2019,6/10/2019,18
V149788,Immigration Consultant (2016) - ON,Complete,4/15/2019,4/16/2019,11/1/2019,11/1/2019,0
V149781,Immigration Consultant (2016) - ON,Cancelled,4/1/2019,4/1/2019,10/18/2019,11/19/2019,0
v900163,Logistics and Supply Chain Operations (2016) - ON ,Void,10/25/2019,,10/16/2020,11/25/2019,23
V900507,Medical Office Assistant (Instr)-ON,Cancelled,1/24/2019,1/24/2019,11/1/2019,4/18/2019,15
v149963,Home Inspection (2009)-ON,Cancelled,6/3/2019,6/4/2019,4/24/2020,11/11/2019,14
v901015,Conference and Event Planner (2014)-ON,Cancelled,10/8/2019,10/8/2019,9/23/2020,11/22/2019,31
V900114,IT Security Specialist Cert (2013)-ON,Cancelled,10/8/2019,10/8/2019,3/3/2020,11/19/2019,7
V149528,Network Administrator (2013)-ON,Void,11/26/2018,,11/29/2019,,20
V149539,Web Designer (2015)-ON,Cancelled,11/26/2018,11/26/2018,11/15/2019,9/16/2019,3
V900581,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/25/2019,3/25/2019,11/29/2019,9/9/2019,11
V149629,Personal Support Worker (2016) - AOL,Complete,1/28/2019,1/28/2019,11/1/2019,11/1/2019,0
V150259,Web Designer (2015)-ON,Cancelled,10/7/2019,10/8/2019,10/2/2020,11/25/2019,27
V149798,Immigration Consultant (2016) - ON,Complete,3/23/2019,4/15/2019,11/1/2019,11/1/2019,0
v900697,Project Administration (2013)-ON,Cancelled,6/15/2019,6/17/2019,4/11/2020,11/11/2019,20
V149509,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,11/19/2018,11/19/2018,11/22/2019,11/29/2018,24
V149712,Paralegal (2014)-ON,Complete,2/18/2019,3/29/2019,11/8/2019,11/5/2019,0
V149504,Paralegal (2014)-ON,Cancelled,11/12/2018,11/16/2018,11/1/2019,11/27/2018,33
v149786,Immigration Consultant (2016) - ON,Void,3/24/2019,,11/28/2019,,13
