,,Student Completion Summary,,,,,
V149172,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,7/16/2018,7/16/2018,7/19/2019,2/7/2020,0
V149442,Accounting and Payroll Administrator (2013)-ON,Cancelled,10/15/2018,10/15/2018,7/5/2019,3/5/2019,12
V149501,Immigration Consultant (2016) - ON,Cancelled,12/3/2018,1/30/2019,8/16/2019,7/16/2019,1
V149361,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,1/14/2019,22
v149753,Immigration Consultant (2016) - ON,Cancelled,5/20/2019,5/30/2019,12/20/2019,7/12/2019,11
V149956,Marketing Coordinator (2013)-ON,Void,5/27/2019,,3/21/2020,7/29/2019,31
V149531,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/18/2018,7/19/2019,7/20/2019,0
V149921,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,6/10/2019,6/10/2019,6/12/2020,7/9/2019,22
V149413,Personal Support Worker (2016) - AOL,Cancelled,9/27/2018,9/27/2018,7/19/2019,5/11/2019,3
V149974,Immigration Consultant (2016) - ON,Complete,6/17/2019,6/17/2019,7/12/2019,7/12/2019,0
V900691,Project Administration (2013)-ON,Cancelled,5/28/2019,5/28/2019,3/24/2020,7/6/2019,31
V149366,Project Administration (2013)-ON,Cancelled,9/19/2018,9/19/2018,7/26/2019,1/14/2019,20
V149388,Business Administration (2013)-ON,Complete,9/24/2018,9/24/2018,7/12/2019,7/12/2019,0
V149338,Personal Support Worker (2016) - AOL,Complete,9/17/2018,9/17/2018,7/5/2019,7/5/2019,0
V149554,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/26/2019,7/26/2019,0
V149381,Business Administration (2013)-ON,Cancelled,9/24/2018,9/29/2018,7/19/2019,6/10/2019,0
v149926,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,5/27/2019,5/28/2019,5/29/2020,7/5/2019,22
V149394,Business Administration (2013)-ON,Complete,9/24/2018,9/25/2018,7/12/2019,7/12/2019,0
V149390,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,10/11/2018,30
V149552,Immigration Consultant (2016) - ON,Cancelled,12/17/2018,12/17/2018,7/19/2019,2/5/2019,13
v149473,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149568,Business Administration (2013)-ON,Cancelled,12/17/2018,12/17/2018,10/4/2019,7/13/2019,21
v149436,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/18/2018,7/19/2019,7/19/2019,0
V149484,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/6/2018,7/12/2019,7/15/2019,0
v149998,Home Inspection (2009)-ON,Cancelled,6/17/2019,6/17/2019,5/8/2020,7/15/2019,20
V149990,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,6/24/2019,6/24/2019,6/26/2020,7/13/2019,23
V149440,Business Administration (2013)-ON,Cancelled,10/8/2018,10/10/2018,7/26/2019,6/10/2019,0
V149422,Business Administration (2013)-ON,Complete,10/1/2018,10/1/2018,7/19/2019,7/19/2019,0
V149341,Business Administration (2013)-ON,Cancelled,9/17/2018,9/20/2018,7/5/2019,11/12/2018,29
V900700,Accounting and Payroll Administrator (2013)-ON,Cancelled,6/10/2019,6/17/2019,2/15/2020,7/22/2019,23
V900539,Business Administration (2013)-ON,Cancelled,1/21/2019,1/24/2019,10/25/2019,7/16/2019,20
V149336,Business Administration (2013)-ON,Cancelled,9/17/2018,10/27/2018,7/5/2019,11/30/2018,30
V149362,Business Administration (2013)-ON,Cancelled,9/24/2018,9/29/2018,7/19/2019,3/12/2019,23
V149572,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V900606,Business Administration (2013)-ON,Cancelled,3/29/2019,3/29/2019,1/31/2020,7/6/2019,30
V900726,Network Administrator (2013)-ON,Cancelled,6/21/2019,6/21/2019,6/12/2020,7/22/2019,19
V149609,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/5/2019,7/5/2019,0
V900686,Business Administration (2013)-ON,Cancelled,5/27/2019,5/27/2019,2/29/2020,7/26/2019,24
V900580,Network Administrator (2013)-ON,Cancelled,3/25/2019,3/25/2019,4/17/2020,7/16/2019,18
V149310,Project Administration (2013)-ON,Cancelled,9/10/2018,9/12/2018,7/19/2019,2/21/2019,23
V900509,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,7/29/2019,13
V900522,Accounting and Payroll Administrator (2013)-ON,Cancelled,1/21/2019,1/21/2019,9/27/2019,7/12/2019,16
V900661,Business Administration (2013)-ON,Cancelled,5/2/2019,5/27/2019,2/6/2020,7/22/2019,30
V150011,Business Administration (2013)-ON,Cancelled,6/24/2019,6/24/2019,4/10/2020,7/12/2019,29
V149412,Business Administration (2013)-ON,Cancelled,9/27/2018,9/27/2018,7/12/2019,10/12/2018,30
V149565,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149611,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/8/2019,7/26/2019,1/11/2019,12
V149352,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,2/14/2019,20
V149405,Business Administration (2013)-ON,Complete,9/24/2018,9/26/2018,7/12/2019,7/12/2019,0
V149598,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/26/2019,7/26/2019,0
V149304,Logistics and Supply Chain Operations (2016) - ON ,Complete,8/27/2018,8/31/2018,7/26/2019,7/26/2019,0
V149334,Personal Support Worker (2016) - AOL,Cancelled,9/17/2018,9/17/2018,7/5/2019,2/7/2020,1
V149365,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,1/7/2019,20
V900569,Accounting and Payroll Administrator (2013)-ON,Cancelled,3/25/2019,4/1/2019,12/6/2019,7/12/2019,18
V149441,Business Administration (2013)-ON,Complete,10/12/2018,10/15/2018,6/28/2019,7/2/2019,0
V149443,Personal Support Worker (2016) - AOL,Cancelled,10/29/2018,10/29/2018,8/16/2019,7/12/2019,2
V149605,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/26/2019,8/11/2019,0
V149555,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149395,Business Administration (2013)-ON,Complete,9/24/2018,9/24/2018,7/12/2019,7/12/2019,0
v900622,Medical Office Assistant (Instr)-ON,Cancelled,5/11/2019,5/27/2019,3/7/2020,7/5/2019,20
V149415,Business Administration (2013)-ON,Cancelled,9/24/2018,9/27/2018,7/12/2019,3/18/2019,18
V149335,Business Administration (2013)-ON,Cancelled,9/17/2018,9/29/2018,7/19/2019,11/30/2018,26
V149828,Home Inspection (2009)-ON,Cancelled,4/15/2019,4/15/2019,3/6/2020,7/16/2019,17
v149573,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/19/2018,7/19/2019,7/19/2019,0
V149247,Logistics and Supply Chain Operations (2016) - ON ,Complete,8/27/2018,8/27/2018,7/26/2019,7/26/2019,0
v150340,Immigration Consultant (2016) - ON,In Progress,1/1/2019,1/13/2020,7/31/2019,,10
V149515,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/26/2019,0
V149431,Business Administration (2013)-ON,Cancelled,10/8/2018,10/9/2018,7/26/2019,11/8/2018,30
V149550,Immigration Consultant (2016) - ON,Complete,12/5/2018,12/5/2018,7/5/2019,7/5/2019,0
v149870,Paralegal (2014)-ON,Cancelled,4/29/2019,4/29/2019,4/17/2020,7/29/2019,24
v150054a,Business Administration (2013)-ON,Void,7/22/2019,,4/25/2020,7/23/2019,31
V149389,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,12/18/2018,21
V149705,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,3/25/2019,3/25/2019,3/27/2020,7/10/2019,21
V149513,Immigration Consultant (2016) - ON,Complete,11/26/2018,12/3/2018,7/5/2019,7/5/2019,0
V900527,Medical Office Assistant (Instr)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,7/6/2019,14
v149932,Accounting and Payroll Administrator (2013)-ON,Void,8/5/2019,,4/20/2020,7/24/2019,24
V149463,Business Administration (2013)-ON,Complete,11/26/2018,11/26/2018,7/5/2019,7/5/2019,0
V149149,Logistics and Supply Chain Operations (2016) - ON ,Void,9/3/2018,,7/26/2019,,23
V149444,Accounting and Payroll Administrator (2013)-ON,Complete,10/15/2018,10/15/2018,7/5/2019,6/14/2019,0
v149586,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/26/2019,7/30/2019,0
V149547,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149399,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,5/3/2019,20
v900706,Personal Support Worker (2016) - AOL,Cancelled,6/10/2019,6/10/2019,2/8/2020,7/26/2019,16
V149604,Immigration Consultant (2016) - ON,Cancelled,1/7/2019,1/7/2019,7/26/2019,3/12/2019,9
V150004,Medical Office Assistant with HUC Specialty (Instr)-ON,Cancelled,6/24/2019,6/24/2019,6/26/2020,7/5/2019,23
V900544,Conference and Event Planner (2014)-ON,Cancelled,1/21/2019,1/21/2019,1/17/2020,7/12/2019,17
v149588,Immigration Consultant (2016) - ON,Complete,1/7/2019,1/7/2019,7/26/2019,7/5/2019,0
V149165,Medical Office Assistant with HUC Specialty (Instr)-ON,Complete,7/16/2018,7/17/2018,7/19/2019,7/19/2019,0
V900589,Network Administrator (2013)-ON,Cancelled,3/25/2019,3/25/2019,3/14/2020,7/9/2019,18
V149367,Business Administration (2013)-ON,Cancelled,9/18/2018,9/18/2018,7/5/2019,1/14/2019,19
V149392,Personal Support Worker (2016) - AOL,Cancelled,9/24/2018,9/25/2018,7/12/2019,12/13/2018,12
v900577,Personal Support Worker (2016) - AOL,Cancelled,5/3/2019,5/27/2019,1/3/2020,7/19/2019,15
v900599,Business Administration (2013)-ON,Cancelled,3/20/2019,4/3/2019,12/25/2019,7/22/2019,19
V900532,Project Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,11/15/2019,7/12/2019,14
V900728,Conference and Event Planner (2014)-ON,Cancelled,6/25/2019,6/25/2019,6/10/2020,7/27/2019,19
V149400,Business Administration (2013)-ON,Cancelled,9/24/2018,9/24/2018,7/12/2019,11/30/2018,28
v900696,Project Administration (2013)-ON,Cancelled,6/10/2019,6/10/2019,4/4/2020,7/12/2019,31
V149944,Immigration Consultant (2016) - ON,Cancelled,6/10/2019,6/10/2019,1/10/2020,7/6/2019,12
V149524,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149354,Business Administration (2013)-ON,Void,9/24/2018,,7/12/2019,,31
V149527,Business Accounting (2014)-ON,Void,11/26/2018,,7/5/2019,,21
V149571,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/13/2019,0
V900670,Project Administration (2013)-ON,Cancelled,5/11/2019,5/28/2019,3/7/2020,7/6/2019,31
V149385,Business Administration (2013)-ON,Complete,9/24/2018,9/24/2018,7/12/2019,7/12/2019,0
V149623,Business Office Skills (2013)-ON,Cancelled,1/21/2019,1/22/2019,7/26/2019,3/8/2019,20
V149742,Business Office Skills (2013)-ON,Cancelled,4/8/2019,4/15/2019,10/18/2019,7/26/2019,19
V149884,Home Inspection (2009)-ON,Cancelled,5/3/2019,5/1/2019,3/20/2020,7/8/2019,13
V149337,Project Administration (2013)-ON,Cancelled,9/17/2018,9/17/2018,7/26/2019,4/10/2019,15
V149280,Conference and Event Planner (2014)-ON,Complete,8/27/2018,8/28/2018,7/5/2019,7/4/2019,0
V900511,Business Administration (2013)-ON,Cancelled,1/21/2019,1/21/2019,10/25/2019,7/22/2019,22
V149455,Business Administration (2013)-ON,Complete,10/22/2018,10/22/2018,6/28/2019,7/2/2019,0
v900585,Accounting and Payroll Administrator (2013)-ON,Cancelled,5/6/2019,5/6/2019,1/24/2020,7/19/2019,16
V149396,Business Administration (2013)-ON,Cancelled,9/24/2018,9/25/2018,7/12/2019,2/20/2019,20
V149363,Personal Support Worker (2016) - AOL,In Progress,9/17/2018,9/17/2018,7/5/2019,,1
V149512,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/15/2019,0
v900703,Logistics and Supply Chain Operations (2016) - ON ,Cancelled,6/10/2019,6/10/2019,5/30/2020,7/16/2019,22
V149576,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149519,Immigration Consultant (2016) - ON,Complete,12/17/2018,12/17/2018,7/19/2019,7/19/2019,0
V149483,Personal Support Worker (2016) - AOL,Cancelled,11/5/2018,11/5/2018,8/23/2019,7/13/2019,4
v149937,Law Clerk (2013)-ON,Cancelled,5/27/2019,5/28/2019,5/29/2020,7/16/2019,24
V149546,Personal Support Worker (2016) - AOL,Cancelled,12/3/2018,12/3/2018,9/20/2019,7/27/2019,4
v149542,Immigration Consultant (2016) - ON,Complete,11/30/2018,11/30/2018,7/12/2019,7/12/2019,0
V149689,Immigration Consultant (2016) - ON,Cancelled,2/26/2019,2/26/2019,7/5/2019,3/11/2019,6
V149487,Paralegal (2014)-ON,Cancelled,11/5/2018,11/5/2018,10/25/2019,7/5/2019,11
, # of Scheduled End: 47,,# Completed: 45,,95.74%,,
,,,Page 1 of 1,,,,
