,ContractCode,Program,Current,0-30,31-60,60-90,90 or more
278,V900715,BA,5680,5680,5680,5680,5680
279,V900644,CEP,5700,5700,5700,5700,5700
280,V900661,BA,5720,5720,5720,5720,5720
281,V900570,BA,5740,5740,5740,5740,5740
282,V900224,MOA,5760,5760,5760,5760,5760
283,v900549,BA,5780,5780,5780,5780,5780
284,V900578,LSCO,5800,5800,5800,5800,5800
285,V900685,PSW,5820,5820,5820,5820,5820
286,V900548,BA,5840,5840,5840,5840,5840
287,v900543, LSCO,5860,5860,5860,5860,5860
288,V900581,AP,5880,5880,5880,5880,5880
289,V900713,,5900,5900,5900,5900,5900
290,V900583,BOA,5920,5920,5920,5920,5920
291,V900527,MOA,5940,5940,5940,5940,5940
292,V900514,BA,5960,5960,5960,5960,5960
293,V900629,,5980,5980,5980,5980,5980
294,V900833,CEP,6000,6000,6000,6000,6000
295,V900623,,6020,6020,6020,6020,6020
296,V900800,PA,6040,6040,6040,6040,6040
297,V900531, BA,6060,6060,6060,6060,6060
298,V900930,BA,6080,6080,6080,6080,6080
299,V900634,,6100,6100,6100,6100,6100
300,V900609,,6120,6120,6120,6120,6120
301,V900803,PA,6140,6140,6140,6140,6140
302,V900813,BA,6160,6160,6160,6160,6160
303,V900796,,6180,6180,6180,6180,6180
304,V900509,PA,6200,6200,6200,6200,6200
305,V900573,BA,6220,6220,6220,6220,6220
306,V900199,PA,6240,6240,6240,6240,6240
307,V900539,BA,6260,6260,6260,6260,6260
308,V900515,BA,6280,6280,6280,6280,6280
309,V900636,,6300,6300,6300,6300,6300
310,V900569,AP,6320,6320,6320,6320,6320
311,V900593,,6340,6340,6340,6340,6340
312,V900637,,6360,6360,6360,6360,6360
313,V900201,BA,6380,6380,6380,6380,6380
314,V900535,PSW,6400,6400,6400,6400,6400
315,V900594,ProAd,6420,6420,6420,6420,6420
316,V900542, PA,6440,6440,6440,6440,6440
317,V900642,,6460,6460,6460,6460,6460
318,V900810,BA,6480,6480,6480,6480,6480
319,V900792,Projad,6500,6500,6500,6500,6500
320,V900547,MOA,6520,6520,6520,6520,6520
321,V900681,,6540,6540,6540,6540,6540
322,V900200,CEP,6560,6560,6560,6560,6560
323,V900271,CEP,6580,6580,6580,6580,6580
324, V900544,CEP,6600,6600,6600,6600,6600
325,V900559,BA,6620,6620,6620,6620,6620
326,V900590,BA,6640,6640,6640,6640,6640
327,V900666,AP,6660,6660,6660,6660,6660
328,V900255,WDPA,6680,6680,6680,6680,6680
329,V900533,AP,6700,6700,6700,6700,6700
330,V900522,AP,6720,6720,6720,6720,6720
331,V900840,,6740,6740,6740,6740,6740
332,V900532,ProjAd,6760,6760,6760,6760,6760
333,V900511,BA,6780,6780,6780,6780,6780
334,V900519,ProjAd,6800,6800,6800,6800,6800
335,V900540,BA,6820,6820,6820,6820,6820
336,V900545,,6840,6840,6840,6840,6840
337,V900501,,6860,6860,6860,6860,6860
338,V900213,MOA,6880,6880,6880,6880,6880
339,V900556,,6900,6900,6900,6900,6900
340,V900918,BA,6920,6920,6920,6920,6920
